Title
Knowledge graph stream processing at the edge
A Knowledge Graph-Based Survey on Distributed Ledger Technology for IoT Verticals
Learning Path Generator Based on Knowledge Graph
Semantic Enrichment of Services for Linked Data Provision in SOA
An architecture's propose based on linked data and IoT to improve the health service
A Framework for Creation of Linked Data Mashups: A Case Study on Healthcare
Utilizing knowledge graph and student testing behavior data for personalized exercise recommendation
Using Linked Data in the Data Integration for Maternal and Infant Death Risk of the SUS in the GISSA Project
Microservice Architecture for Multistore Database Using Canonical Data Model
ArgumentBind - A Model for Implementing Argument Web Integrated Applications with Open and Linked Data
Contribution to the development of an energy management solution in a green smart home (EMSGSH)
jRDFa: browsing and visualization of linked data on the web
Energy-Efficient Database Systems: A Systematic Survey
Ontology Integration for Building Systems and Energy Storage Systems
Organic smart home: architecture for energy management in intelligent buildings
Bayes EMbedding (BEM): Refining Representation by Integrating Knowledge Graphs and Behavior-specific Networks
Semantic data integration with DevOps to support engineering process of intelligent building automation systems
Big Data in Large Scale Intelligent Smart City Installations
Roadmap on Industrial Knowledge System for Data-Oriented Intelligent Operation and Maintenance in Chinese Power Industry
Semantic Enrichment of Web Data for the Provision of an Unified Data Repository of Brazilian Missing Persons
SemanticSefaz: an ontology-based semantic portal for the government spending
A Real-World District Community Platform as a Cyber-Physical-Social Infrastructure Systems in the Energy Domain
BEAD - building energy asset discovery tool for automating smart building analytics: demo abstract
STAFFER: Skill Training Alliance for the Future European Rail System✱
Sense Your Power: The ECO Approach to Energy Awareness for IoT Devices
"SESAME demonstrator: ontologies, services and policies for energy efficiency"
Integrating Ireland's Geospatial Information to Provide Authoritative Building Information Models
"Towards a Semantic Approach for Linked Dataspace, Model and Data Cards"
An RDF based approach for integrating data at different levels of abstraction
Exploring the Correlation of Semantic Entities Between Questions and Answers in Q&amp;A Communities
Digital Ecosystem-Based KPI-Driven Railway Communication Network Reporting System
Integration of Building Information Modelling (BIM) and Sensor Technology: A Review of Current Developments and Future Outlooks
Open Routed Energy Distribution Network based on a Concept of Energy Router in Smart Grid
Ontology-Based Reasoning to Classify Behaviors Associated with Chronic Disease Risk Factors
What's The Point: AutoEncoding Building Point Names
INSIDE: an Ontology-based Data Integration System Applied to the Oil and Gas Sector
Smart energy monitoring and management in large multi-office building environments
SeeQ: A Programming Model for Portable Data-Driven Building Applications
"Data Valuation: Use Cases, Desiderata, and Approaches"
Mechanism Design for Unified Management of Power Grid Planning Data
A Novel Graph Neural Network for Zone-Level Urban-Scale Building Energy&nbsp;Use&nbsp;Estimation
Research on the Application of Energy Wisdom Based on Power Iot and Big Data
Towards an ontology for personalized hotel room recommendation: student research abstract
Multi tree operators for genetic programming to identify optimal energy flow controllers
An Ontological Model and Services for Capturing and Tracking Provenance in Decentralized Social Networks
Managing Knowledge in Energy Data Spaces
An ontology used to support learning in the field of heritage education
Ontology-based user privacy management in smart grid
A Survey of General Ontologies for the Cross-Industry Domain of Circular Economy
A semantic event approach to enrich device-free indoor localization data
Every Thing Under the Sun: How Web of Things and Semantic Data Brings Benefit to Small-Scale Photovoltaic Installations
Perceptual Characterization of 3D Graphical Contents based on Attention Complexity Measures
Building a highly consumable semantic model for smarter cities
