Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
SARGON2: Updating SARGON Ontology for Semantic Data Sharing in the Energy Domain,S. M. Tun; Z. Pan; F. Hao; F. Ponci; A. Monti,"Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, RWTH Aachen University and Fraunhofer FIT, Aachen, Germany",2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe),30-Dec-25,2025,,,1,5,"The power systems are becoming a decentralized cyber-physical system with new energy demands, grid infrastructure, and renewable energy sources, introducing challenges in managing heterogeneous data across various domains within the energy domain. As a result, the harmonization of heterogeneous data becomes one of the possible solutions for the development and analysis of novel solutions in the energy domain. Semantic Web technologies serve as effective solutions to tackle the challenges of heterogeneous data integration across various sectors, including smart energy systems. By providing machine-readable information and facilitating a shared understanding of data for both humans and machines, these technologies, especially ontology, enable the linking of domain-specific information. To address this issue, we propose the development of SARGON2 ontology by using a semi-automatic ontology development framework that extends SARGON to enhance interoperability within the energy domain. SARGON2 extends SARGON ontology to cover more renewable energy resources, weather information, and power system components. By integrating the ontology with the existing standards, such as IEC61970 CIM, SARGON2 incorporates entities related to RES, building domains, and non-energy domains like weather information.",,979-8-3315-2503-3,10.1109/ISGTEurope64741.2025.11305427,European Commission; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11305427,SARGON;ontology;semantic interoperability;CIM,Semantic Web;Renewable energy sources;Semantics;Europe;Ontologies;Power systems;Smart grids;Common Information Model (electricity);Interoperability;Standards,,,,25,IEEE,30-Dec-25,20-23 Oct. 2025,20-23 Oct. 2025,IEEE,IEEE Conferences
Horizontal M2M platforms boost vertical industry: Effectiveness study for building energy management systems,M. Floeck; A. Papageorgiou; A. Schuelke; J. Song,"NEC Laboratories Europe, NEC Europe Ltd, Heidelberg, Germany; NEC Laboratories Europe, NEC Europe Ltd, Heidelberg, Germany; NEC Laboratories Europe, NEC Europe Ltd, Heidelberg, Germany; NEC Laboratories Europe, NEC Europe Ltd, Heidelberg, Germany",2014 IEEE World Forum on Internet of Things (WF-IoT),24-Apr-14,2014,,,15,20,"Machine-To-Machine (M2M) is seen as driving enabler for smart solutions for future smart cities. Specialized vertical M2M solutions approaching the markets with the challenges to meet sustainable business solutions. However, it is essential to develop standard based horizontal service platforms in the domain of M2M industry to achieve the M2M vision, i.e., connecting all different types of devices to communicate with one another. This paper reviews M2M platforms from vertical domains as well as M2M related standardizations. While vertical proprietary M2M solutions provides some value to their vertical sectors, most challenges are identified in scalability and interoperability. Specifically, we perform an analysis centered on a building management M2M system (CAMPUS21) and two M2M standards (ETSI M2M & HGI) platforms. Identified gaps, e.g., incompatibilities on data model, dependencies on multiple vendors and restricted resource sharing are addressed with three major steps: (i) defining and sharing common terminologies, (ii) enabling to add semantic information, and (iii) exchanging semantic meaning instead of raw data. As solution, we suggest a required extension of horizontal M2M architecture in order to provide interconnection between proprietary M2M systems and standardized M2M systems, and draw lessons for conclusion in the future direction to realize the vision of horizontal M2M system.",,978-1-4799-3459-1,10.1109/WF-IoT.2014.6803109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6803109,,Buildings;Telecommunication standards;Data models;Semantics;Architecture,,16,,21,IEEE,24-Apr-14,6-8 March 2014,6-8 March 2014,IEEE,IEEE Conferences
Ontology-Based Optimization of Building Automation Systems,S. Gaida; W. Kastner; F. Petrushevski; M. Sipetic,"TU Wien, Institute of Computer Engineering, Vienna, Austria; TU Wien, Institute of Computer Engineering, Vienna, Austria; Center for Energy, Austrian Institute of Technology, Vienna, Austria; Center for Energy, Austrian Institute of Technology, Vienna, Austria",IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,30-Dec-18,2018,,,819,825,"Modern buildings are equipped with various complex automation systems that produce vast amounts of data. The operation of these systems has significant influence on energy demands and user comfort in the premises. Therefore, an optimal configuration of the systems to increase energy efficiency is desired by the operators of the buildings. An automated decision-making process that evaluates and analyzes the bulk of available data can help to achieve these objectives. Hence, this work introduces a framework for the automatic generation of recommended configuration changes to increase energy efficiency and user comfort. The approach makes extensive use of semantic building information modeling as basis for the selection of potentially useful measures as well as for their assessment. Expected consequences of configuration changes are forecasted via simulation. Additionally, current results of an application of the proposed solution in an office building are discussed.",2577-1647,978-1-5090-6684-1,10.1109/IECON.2018.8591703,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591703,Buildings;building automation;data processing;data analysis;energy efficiency;information management,Buildings;Ontologies;Optimization;Predictive models;Data models;Semantics;Data analysis,,,,17,IEEE,30-Dec-18,21-23 Oct. 2018,21-23 Oct. 2018,IEEE,IEEE Conferences
Artificial Intelligence and a Digital Twin are effecting building energy Management,G. Deena; K. Gulati; R. Jha; U. R. Bajjuri; M. Sahithullah; M. Singh,"AP/CSE, SRM Institute of Science and Technology, Chennai; Amity School of Insurance Banking and Actuarial Science, Amity University, Noida, Uttar Pradesh, India; Management Education & Research Institute(MERI), GGSIPU; Department of CSE, Lakireddy Bali Reddy College of Engineering (Autonomous), Mylavaram, India; ASP, EEE, ER. Perumal Manimekalai College of Engineering; Department of Electrical Engineering, Chandigarh University, Punjab, India","2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",14-Oct-22,2022,,,1,8,"Using a three-dimensional data model connected to the Internet of Things, artificial intelligence, and machines, the study looks into the possibility of using digital twin-based techniques and methods to create an intelligent optimization and automation system to manage energy in a residential area. The Rinascimento III neighbourhood in Rome is the focus of the case study. It has 16 eight-story buildings with 216 apartments that are powered by renewable energy for 70% of the time. Because the complex has dynamic analytic algorithms built in, many different energy-efficient intervention scenarios can be tested to make sure the real comfort and temperature levels of the complex are kept. At the same time, a reliable IT infrastructure based on advanced computing paradigms that can deliver data is being designed and put into place. To meet NZEB criteria, a method was created to analyse the efficiency and effectiveness of integrated systems for producing renewable energy from solar energy. This is needed to raise the threshold of self-produced energy (near zero energy buildings).",,978-1-6654-7413-9,10.1109/ICSES55317.2022.9914233,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914233,Artificial Intelligence;digital twin;classes;IoT;Machine learning;solar energy,Renewable energy sources;Heuristic algorithms;Solar energy;Reliability engineering;Energy efficiency;Data models;Digital twins,,16,,10,IEEE,14-Oct-22,15-16 July 2022,15-16 July 2022,IEEE,IEEE Conferences
An advanced data analytics framework for energy efficiency in buildings,D. Schachinger; S. Gaida; W. Kastner; F. Petrushevski; C. Reinthaler; M. Sipetic; G. Zucker,"TU Wien, Institute of Computer Aided Automation, Vienna, Austria; TU Wien, Institute of Computer Aided Automation, Vienna, Austria; TU Wien, Institute of Computer Aided Automation, Vienna, Austria; Energy Department, Austrian Institute of Technology, Vienna, Austria; Energy Department, Austrian Institute of Technology, Vienna, Austria; Energy Department, Austrian Institute of Technology, Vienna, Austria; Energy Department, Austrian Institute of Technology, Vienna, Austria",2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),7-Nov-16,2016,,,1,4,"Today's buildings provide continuously growing amounts of data monitored from diverse sensors. With regard to the similarly increasing energy needs of buildings, accurate evaluation and analysis of these data can be used in order to improve energy efficiency and reduce overall energy consumption of buildings. Hence, this work introduces a comprehensive framework based on well-known data analytics methods to process the bulk of data and extract exploitable knowledge for further usage. The approach includes the descriptive evaluation and interpretation of sensed data, the prediction of future energy needs based on a set of potential actions, and the prescription of energy efficiency measures in the form of user instructions and configuration files for building automation systems. Additionally, identified use case scenarios are described, which will be used for evaluation of the presented data analytics framework. Furthermore, current results as well as ongoing work and expected future results are discussed in this work in progress.",,978-1-5090-1314-2,10.1109/ETFA.2016.7733630,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733630,Buildings;building automation;data processing;data analysis;energy efficiency;information management,Buildings;Data analysis;Analytical models;Data models;Monitoring;Predictive models;Semantics,,10,,12,IEEE,7-Nov-16,6-9 Sept. 2016,6-9 Sept. 2016,IEEE,IEEE Conferences
"e2-Diagnoser: A System for Monitoring, Forecasting and Diagnosing Energy Usage",J. Ploennigs; B. Chen; P. Palmes; R. Lloyd,IBM Research; IBM Research; IBM Research; IBM Research,2014 IEEE International Conference on Data Mining Workshop,29-Jan-15,2014,,,1231,1234,"We propose e2-Diagnoser, a real-time data mining system for the energy management of smart, sensor-equipped buildings. The main features of e2-Diagnoser are: (i) fast extraction of a large portfolio of buildings' benchmarks at multiple places, and (ii) accurate prediction of buildings' energy usage down to sub meter level to detect and diagnose abnormal energy consumptions. Fundamentally, the e2-Diagnoser system is built on a novel statistical learning algorithm using the Generalized Additive Model (GAM) to simultaneously monitor the mean and variation of the energy usage as well as identify the influencing factors such as weather conditions. Its implementation is based on stream processing platform that integrates data from various sources using semantic web technologies and provides an interactive user interface to visualize results. The platform is scalable and can be easily adapted to other applications such as smart-grid networks. Here we describe the architecture, methodology, and show the web-interface to demonstrate the main functions in the e2-Diagnoser.",2375-9259,978-1-4799-4274-9,10.1109/ICDMW.2014.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7022741,Energy Prediction;Smart Buildings;Building Benchmark;Pattern Extraction,Buildings;Data mining;Energy consumption;Data models;Benchmark testing;Portfolios;Meteorology,,8,,8,IEEE,29-Jan-15,14-14 Dec. 2014,14-14 Dec. 2014,IEEE,IEEE Conferences
Ontology-Driven Building Operating System Integrated with Large Language Models for Intuitive Building Operations,Y. Chiba; H. Ge; K. Amano; N. Koshizuka,"Graduate School of Interdisciplinary Information Studies, The University of Tokyo, Tokyo, Japan; Interfaculty Initiative in Information Studies, The University of Tokyo, Tokyo, Japan; Graduate School of Interdisciplinary Information Studies, The University of Tokyo, Tokyo, Japan; Interfaculty Initiative in Information Studies, The University of Tokyo, Tokyo, Japan",2025 IEEE International Smart Cities Conference (ISC2),23-Dec-25,2025,,,1,6,"The increasing complexity of building management systems demands more intuitive and flexible methods for controlling and monitoring facilities. To address this need, we propose a Building Operating System (BOS) architecture that integrates Large Language Models (LLMs) with ontology-driven knowledge graphs, specifically leveraging Brick and RealEstateCore. This integration facilitates intuitive natural-language interactions, dynamically generating SPARQL queries and control commands. We validate our prototype through scenario-based evaluations at two real-world facilities: the Iroribi Tech node and the Daiwa Ubiquitous Computing Research Building at the University of Tokyo. Scenarios included typical operational tasks such as querying HVAC set-points, executing single-device control, and performing group equipment operations. Across these tests, our system consistently achieved a 100 % task success rate, although the observed latency of approximately $20-30$ seconds highlights opportunities for performance optimization. Further demonstrated through case studies involving equipment verification and energy usage analysis, our architecture supports complex operational workflows via straightforward natural-language commands. These results confirm the practical feasibility of the proposed LLM-enabled BOS, lowering operational complexity and reducing the expertise required for effective facility management.",2687-8860,979-8-3315-5773-7,10.1109/ISC266238.2025.11293328,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293328,Building Operating System;Smart Building;Digital Twin;Large Language Model;Ontology;Semantic Graph;Model Context Protocol;Human-Building Interaction;Facility Management,Smart buildings;Smart cities;Operating systems;Large language models;Architecture;Semantics;Computer architecture;Ubiquitous computing;Complexity theory;Facilities management,,,,18,IEEE,23-Dec-25,6-9 Oct. 2025,6-9 Oct. 2025,IEEE,IEEE Conferences
WoO based user centric Energy Management System in the internet of things,Zia Ush Shamszaman; Sanghong Lee; Ilyoung Chong,"Computer and Information Communication Engineering, Hankuk University of Foreign Studies, Yongin, Korea; KT Powertel; Computer and Information Communication Engineering, Hankuk University of Foreign Studies, Yongin, Korea",The International Conference on Information Networking 2014 (ICOIN2014),17-Apr-14,2014,,,475,480,"In this paper we aim to propose a Web-Of-Objects (WoO) based Energy Management System (WEMS) for providing a solution to efficiently manage energy consumption in smart home environment. The general goal of the WoO is to simplify object and application deployment, maintenance and operation in Internet of Things infrastructures. WoO also intends to propose service architecture system to support an intelligent features through an objectification and virtualization of the physical things. Object virtualization ensures harmonization, federation and combination of objects as well as services in the WEMS. Semantic ontology plays a vital role in WoO for ensuring the information reusability, extensibility and interoperability among virtual objects. It enables WEMS to be easily deployable in the real environment. This system can be applicable to building, home and factory, particularly we consider a home environment in this paper.",2332-5658,978-1-4799-3689-2,10.1109/ICOIN.2014.6799727,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799727,IoT;WoT;energy;virtualization,Energy consumption;Sensors;Monitoring;Energy efficiency;Ontologies;Semantics,,12,,9,IEEE,17-Apr-14,10-12 Feb. 2014,10-12 Feb. 2014,IEEE,IEEE Conferences
Towards an ontology driven approach for systems interoperability and energy management in the smart city,P. Brizzi; D. Bonino; A. Musetti; A. Krylovskiy; E. Patti; M. Axling,"Istituto Superiore Mario Boella (ISMB), Torino, Italy; Istituto Superiore Mario Boella (ISMB), Torino, Italy; D'Appolonia Genova, Italy; Praunhofer FIT Sankt Augustin, Germany; Politccnico di Torino, Torino, Italy; CNet Svenska AB, Danderyd, Sweden",2016 International Multidisciplinary Conference on Computer and Energy Science (SpliTech),1-Sep-16,2016,,,1,7,"Modern Information and Communication Technologies are definitely a key factor to develop the green and sustainable applications that the so-called ""smart city"" needs. Effective management of resources, gathering and interpreting data as well as ecological considerations are prerequisites to turn such a vision into reality. The European FP7 project DIMMER address these issues by providing a flexible Internet of Thing platform for application development and data integration, exploiting information about buildings, energy distribution grids and user behaviors. Among those applications, the possibility to real-time access and aggregate information about building environmental characteristics and energy consumption enables the optimization of energy management and control, as well as the user's awareness about, which is the scope of the DIMMER project. The paper will describe the ontology-driven approach, as well as the actual design, exploited to model the physical world within the context of this project, adding a special emphasis on the state of art research in the field of energy profiling.",,978-1-5090-1661-7,10.1109/SpliTech.2016.7555948,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7555948,Dimmer;Smart City;Ontology;Energy profile;Internet of Things,Decision support systems,,18,,37,,1-Sep-16,13-15 July 2016,13-15 July 2016,IEEE,IEEE Conferences
Twin4Build in Action: AI-Powered Digital Twins Advancing Building Decarbonization with Key Findings and Lessons Learned,M. Jradi,"Center for Energy Informatics, University of Southern Denmark, Odense, Denmark",2025 Sixth International Conference on Advances in Computational Tools for Engineering Applications (ACTEA),13-Oct-25,2025,,,1,6,"Given the urgency of addressing climate change, the decarbonization of the built environment is crucial for meeting global climate targets and ensuring the long-term resilience of urban infrastructure. Traditional energy management strategies in buildings, often based on outdated and static models, are no longer adequate to address real-time variables, leading to inefficiencies and increased energy consumption. In response to these challenges, Digital Twin (DT) technology offers a promising solution. A Digital Twin is a dynamic, real-time model that continuously integrates data from building systems, sensors, and user interactions, enabling actionable insights to optimize energy use and reduce emissions. When enhanced with Artificial Intelligence (AI), DTs can predict energy demand, optimize building operations, and support sustainable decision-making throughout the entire building lifecycle, from design to decommissioning. This paper presents a novel Digital Twin platform developed as part of the Twin4Build project, which combines adaptable energy models with real-time data to enhance energy efficiency, operational performance, and collaborative decision-making. Case studies from the Twin4Build project illustrate the platform's scalability and effectiveness, showcasing its potential to transform building management and contribute significantly to the decarbonization of the building sector.",2993-3765,979-8-3315-0243-0,10.1109/ACTEA66485.2025.11189944,Technology Development; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189944,buildings;digital twin;energy efficiency;decarbonization;Twin4Build project,Energy consumption;Scalability;Buildings;Decision making;Low carbon economy;Real-time systems;Energy efficiency;Digital twins;Resilience;Meteorology,,,,17,IEEE,13-Oct-25,24-26 Sept. 2025,24-26 Sept. 2025,IEEE,IEEE Conferences
A novel middleware for smart grid data exchange towards the energy efficiency in buildings,S. Martin; J. Hernandez; C. Valmaseda,"Energy and ICT Division, CARTIF Centro Tecnologico, Valladolid, Spain; Energy Division, CARTIF Centro Tecnologico, Valladolid, Spain; Energy Division, CARTIF Centro Tecnologico, Valladolid, Spain",2015 International Conference and Workshops on Networked Systems (NetSys),20-Apr-15,2015,,,1,8,"The objective of this paper is to present a generic middleware conceived to operate as the linking element in platforms hosting smart energy management services to reduce energy consumption in buildings. This kind of solution presents specific requirements related to the need of accessing and managing different sources of information, internal and external to the building, and related to its structure, geometry, or energy consumption. This information is then processed by the system to determine how to improve the energy behavior of the building. In this context, different elements, communicating in a different way and speaking different languages, have to inter-operate with each other to reach the common objective of reducing the energy consumption by executing integrated energy management actions. With the aim of making this system interoperable, coherent, easily expandable, and transparent, the proposed middleware provides a homogeneous level of abstraction in this heterogeneous scenario.",,978-1-4799-5804-7,10.1109/NetSys.2015.7089063,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7089063,,Buildings;Middleware;Data models;Architecture;Interoperability;Energy management;Graphical user interfaces,,7,,25,IEEE,20-Apr-15,9-12 March 2015,9-12 March 2015,IEEE,IEEE Conferences
Semantics for smart control of building automation,D. Schachinger; W. Kastner,"TU Wien, Institute of Computer Aided Automation, Vienna, Austria; TU Wien, Institute of Computer Aided Automation, Vienna, Austria",2016 IEEE 25th International Symposium on Industrial Electronics (ISIE),17-Nov-16,2016,,,1073,1078,"Building automation is an important part of state-of-the-art building management in order to attain most efficient operation in accordance with comfort requirements, energy consumption, or budget allowance. For this purpose, current building management systems enable communication with subjacent systems at the field and automation level by definition of mostly syntactical technology mappings. However, integration of building automation systems for management and control purposes also needs to address the semantics of these subsystems, their cooperation, and their interference. In this work, such an integration approach is presented that enables smart control of building automation resources by the use of semantic technologies. An OWL ontology is developed in order to represent and link knowledge of all relevant domains. Furthermore, an interface concept for seamless and interoperable cross-border communication in the heterogeneous building automation environment is introduced. Finally, an application scenario illustrates the functional capabilities of this approach for smart control in building management.",2163-5145,978-1-5090-0873-5,10.1109/ISIE.2016.7745041,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7745041,Building automation;building management;control systems;ontology;semantics;system integration,Ontologies;Semantics;Building automation;Temperature sensors;Connectors,,15,,16,IEEE,17-Nov-16,8-10 June 2016,8-10 June 2016,IEEE,IEEE Conferences
An intelligent system for smart buildings using machine learning and semantic technologies: A hybrid data-knowledge approach,I. Szilagyi; P. Wira,"MIPS Laboratory, University of Haute-Alsace, Mulhouse, France; MIPS Laboratory, University of Haute-Alsace, Mulhouse, France",2018 IEEE Industrial Cyber-Physical Systems (ICPS),21-Jun-18,2018,,,20,25,"The Internet of Things allowed us to seamlessly integrate communication and computational capabilities into everyday things that resulted in a technologically enhanced environment. However, we still need to work on integrating high level understanding and intelligence in this connected system. The IoT is a mean that enables the possibility of integrating intelligent behavior and services into surrounding environments. One of the most representative examples of artificial environments are buildings. Residential buildings (e.g. homes, apartment blocks) or dedicated public buildings (educational, medical, commercial, governmental) serve different purposes and needs, and therefore they have different characteristics and constraints. However, every building uses some form of resource (e.g. energy, water) in order to assure the required level of comfort, safety and conditions for carrying out the desired activities. In this paper we take a look at some questions regarding the construction and the exploitation of knowledge related to different types of buildings in order to optimize the use of different resources while still assuring the occupants' comfort. We enumerate some of the elements that characterize a building as smart and finally, we present a model for a building management system based on hybrid knowledge.",,978-1-5386-6531-2,10.1109/ICPHYS.2018.8387631,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387631,internet of things;smart buildings;building management systems;knowledge-based systems;machine learning;neural networks;semantic technologies;intelligent systems,Smart buildings;Safety;Security;Energy efficiency;Sensors;Architecture,,9,,44,IEEE,21-Jun-18,15-18 May 2018,15-18 May 2018,IEEE,IEEE Conferences
Simulation Design of Large Energy-saving Building Based on BIM,T. Xin,"Heilongjiang University of Technology, Jixi, China",2022 6th International Conference on Wireless Communications and Applications (ICWCAPP),14-Jun-23,2022,,,75,78,"Aiming at the practical problems that the current energy-saving design methods cannot meet the actual needs, an energy-saving building simulation designing scheme based on BIM is put forward. This paper combines BIM technology with the analysis of architectural design environment, and makes full use of the parametric function of Revit family and NavisWorks model to jointly design an energy-saving building model, along with high visualization and simulation. Then the virtual simulation engine is introduced through BIM to simulate and analyze the wind environment, sunshine and lighting around the building. Finally, a specific project implementation of an energy-saving building is illustrated to test the effectiveness of this scheme. The experimental results show that the 3D simulation image of large-scale energy-saving buildings constructed by the design system has high definition, which overcomes the problem of low correlation between various indicators in the traditional analytical method of image modeling.",,978-1-6654-6290-7,10.1109/ICWCAPP57292.2022.00026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148202,BIM;simulation;energy-saving building;Revit;3D modeling,Wireless communication;Solid modeling;Analytical models;Visualization;Three-dimensional displays;Buildings;Lighting,,1,,8,IEEE,14-Jun-23,20-21 Aug. 2022,20-21 Aug. 2022,IEEE,IEEE Conferences
A BIM and ontology-based intelligent application framework,Guitao Chen; Yupeng Luo,"Shenzhen Institute of Building Research Co., Ltd. Harbin Institute of Technology Shenzhen Graduate School, Shenzhen, China; Department of Construction Management, California State University, Fresno Fresno, CA, U.S.A","2016 IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",2-Mar-17,2016,,,494,497,"As a neutral and open data format, the Industry Foundation Classes (IFC) specification is used to describe and exchange information within the architecture, engineering, and construction (AEC) industry. It is the international standard for openBIM. However, the lack of semantic information greatly hinders its application. Ontology technology, on the other hand, can be used to supplement the semantic information to facilitate intelligent uses such as information integration and ontology reasoning. This paper reviews the current research development of ontology technology in the area of building information modeling (BIM) and proposes an intelligent application framework based on BIM and ontology. Key issues for its implementation are also discussed.",,978-1-4673-9613-4,10.1109/IMCEC.2016.7867261,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7867261,ontology;IFC standard;BIM;reasoning;OWL;SWRL,Ontologies;OWL;Buildings;Cognition;Semantics;Knowledge based systems;Standards,,4,,27,IEEE,2-Mar-17,3-5 Oct. 2016,3-5 Oct. 2016,IEEE,IEEE Conferences
Integrating Energy System Monitoring and Maintenance Services into a BIM-Based Digital Twin,H. Pruvost; F. Forns-Samso; O. Gnepper; O. Enge-Rosenblatt,"Fraunhofer IIS/EAS, Dresden, Germany; Granlund, Helsinki, Finland; Fraunhofer IIS/EAS, Dresden, Germany; Fraunhofer IIS/EAS, Dresden, Germany",IECON 2023- 49th Annual Conference of the IEEE Industrial Electronics Society,16-Nov-23,2023,,,1,6,"The digitalization process is steadily increasing in the building industry and promises new perspectives for better designing and operating buildings throughout their life cycle. However, digitalization has not yet brought its greatest benefit for tackling the rising global energy demand and is even generally associated with more energy consumption. Instead, it has become urgent to rationalize energy use and decrease energy wastes. Indeed, buildings are responsible for about one third of the global energy consumption in the world [1], and 30% of this energy is even wasted through wrong or suboptimal operation, malfunctions and energy-unaware user behavior. Technologies supporting resource saving already exist for e.g. fault detection and mitigation, optimized energy systems control or predictive maintenance. But they necessitate much manual effort by experts to be configured and deployed since every building is to some extent unique with regard to its location, equipment and usage. Moreover, they require much expert knowledge and are not adapted for a daily usage by facility managers or even building users. These measures require also many data for continuous observation, analysis and system adaptations in real time. Although modern building management systems (BMS) can generate lots of monitoring data from sensors and meters, there is still poor or no reuse of building design data already produced in preliminary stages of the building life cycles. In view of these facts, this paper proposes a new data management workflow that relies on the reuse of building design information for facility management, and that shall fasten the deployment of energy-saving services while increasing user energy awareness and engagement in reducing energy use. For that purpose, this workflow makes use of building information modeling (BIM), knowledge graphs, data analysis and web technologies in order to develop a BIM-based Digital Twin for energy saving in the building operation phase.",2577-1647,979-8-3503-3182-0,10.1109/IECON51785.2023.10311659,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10311659,Building Information Modeling;Knowledge Graph;Energy Monitoring;Condition Monitoring;Digital Twin;Expert System,Energy consumption;Buildings;Manuals;Knowledge graphs;Sensor systems;Data models;Digital twins,,6,,17,IEEE,16-Nov-23,16-19 Oct. 2023,16-19 Oct. 2023,IEEE,IEEE Conferences
Skill-Based Multi-Agent Systems for Building Control Using KNX IoT and Web of Things,G. Steindl; T. Rapberger; C. Gehbauer,"Department of Information Technology, University of Applied Sciences Burgenland, Eisenstadt, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Energy Storage and Distributed Resources Division, Lawrence Berkeley National Laboratory, Berkeley, USA",2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),21-Oct-25,2025,,,1,7,"Modern building management systems (BMS) require scalable and flexible solutions to integrate new devices and functionalities with minimal manual effort. This paper addresses this challenge by proposing a multi-agent system (MAS) architecture that leverages the KNX IoT and Web of Things (WoT) specification. The proposed skill-based MAS approach enables agents to interact autonomously through a semantically enriched communication layer. This reduces configuration efforts and commissioning, which typically pose a great challenge for the deployment and integration of new devices within a BMS. The MAS is virtually deployed and evaluated for a single-family residence. Two scenarios are analyzed: (1) Addition of new equipment to an existing setup, and (2) extending functionality of an existing setup. The results demonstrate the seamless device integration process and validate the applicability of KNX IoT and WoT for the developed MAS. Nevertheless, the study also identified limitations in current KNX modeling capabilities, that could be improved in future versions.",1946-0759,979-8-3315-5383-8,10.1109/ETFA65518.2025.11205736,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11205736,building automation;semantic web;ontologies;smart control;KNX,Semantic Web;Architecture;Manuals;Ontologies;Control systems;Service-oriented architecture;Manufacturing automation;Building automation;Multi-agent systems;Building management systems,,,,21,IEEE,21-Oct-25,9-12 Sept. 2025,9-12 Sept. 2025,IEEE,IEEE Conferences
A data model for energy decision support systems for smart cities: The case of BESOS common information model,G. Anadiotis; E. Hatzoplaki; K. Tsatsakis; T. Tsitsanis,"Hypertech Energy labs, Athens, Greece; Hypertech Energy labs, Athens, Greece; Hypertech Energy labs, Athens, Greece; Hypertech Energy labs, Athens, Greece",2015 International Conference on Smart Cities and Green ICT Systems (SMARTGREENS),15-Oct-15,2015,,,1,9,"Integrating Energy Management Systems is a necessary task in order to be able to offer a range of services for citizens and public authorities. This task requires integration at the data level in order to expose data coming from different systems in a unified way. In this paper we describe the creation of a Common Information Model to unify disparate Energy Management Systems in the context of the BESOS project. We identify related work, describe design decisions and methodology and give an outline of the data model itself, based on profiling and extending the IEC 61970 standard.",,978-9-8975-8134-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7297953,Energy Management System;Common Information Model;IEC 61970;Design;Methodology;Data,Data models;Unified modeling language;Computer integrated manufacturing;IEC Standards;Energy management;IEC,,,,23,,15-Oct-15,20-22 May 2015,20-22 May 2015,IEEE,IEEE Conferences
